breed,synonym,Parker2017,Garamszegi2020,activityCareau2010,aggressivenessCareau2010,trainabilityCareau2010,w1AKC,w2AKC,w1Bell,w2Bell,w1malesAKC,w2malesAKC,w1malesBell,w2malesBell,w1femalesAKC,w2femalesAKC,w1femalesBell,w2femalesBell,wAKC,wAKCmales,wAKCfemales,wBell2012,wBellmales,wBellfemales,wFan2016,wFan2016males,wFan2016females,wSpeakman2003,wKraus2013,wGerstner2010,wHawthorne2004,wCareau2010,wJimenez2020,weightcompendia,weightpapers,weight,l1AKC,l2AKC,l1Bell,l2Bell,lAKC,lBell,lMichell1999,lProschowsky2003,,lONeill2013,lLeroy2015b,lifespan,mortalityrateCareau2010,lsClark2017,lsBell2012,lsLeroy2015,lsOkkens1993,lsSchrack2017,lsGroppetti2015,lsBorge2011,lsNielen2000,lsOgrak2009,lsWildt1982,lsYilmaz2007,lsGroppetti2017,lsMila2015,lsThomassen2006,lsGoleman2015,lsGubbels2008,lswebsite1,lswebsite2,lscompendia,lspapers,littersize,malesperlitterGubbels2008,femalesperlitterGubbels2008,bwClark2017,bwFan2016,bwYlmaz2007,bwGroppetti2017,bwGroppetti2015,bwFan2016males,bwFan2016females,bwcompendia,bwpapers,bwpaperskg,bw,bwkg,bwkgxls,grHawthorne2004,grPosadas2014,expgr,T99Hawthorne2004,T99Posadas2014,T99,growth,n,OScardiovascular,OSdermatologic,OSendocrine,OSgastrointestinal,OShematopoietic,OShepatic,OSmusculoskeletal,OSneurologic,OSophthalmologic,OSrespiratory,OSurogenital,OSunclear,PPcongenital,PPdegenenerative,PPinfectious,PPinflammatory,PPmetabolic,PPneoplastic,PPtoxic,PPtraumatic,PPvascular,PPunclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borzoi,Borzoi,BORZ,BORZ,,,,,,,,34.019,47.627,34,48,27.216,38.555,34,41,36.854,40.823,32.885,39.25,41,37.5,41,41,41,,,,,,,38.052,41,39.526,9,14,9,13,11.5,11,,,,,,11.25,,,,,,,,7.6,,,,,11,,,,,,,,9.3,9.3,,,,375.5,,446,,359,392,,410.75,0.411,410.75,0.411,3.82,,,,,,,8872.4528,104,0.067,0.01,0.01,0.144,0.067,0.019,0.163,0.135,0.01,0.163,0.077,0.135,0.01,0.019,0.077,0.01,0.019,0.337,0,0.077,0,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Terrier,Boston Terrier,BOST,BOST,117,97,100,5.443,11.34,,11,,,,,,,,,8.391,,,11,,,,,,,8,,,7.94,,9.261,7.97,8.615,11,13,13,14,12,13.5,,,,,,12.75,,,,,,,2,4.1,,,,,,,,,,,,,3.05,3.05,,,,,,200,,,,,200,0.2,200,0.2,0.61,,,,,,,4095.726,473,0.127,0.017,0.051,0.093,0.04,0.013,0.068,0.222,0.017,0.116,0.074,0.163,0.034,0.032,0.061,0.025,0.074,0.304,0.025,0.066,0.011,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouvier des Flandres,Bouvier des Flandres,BOUV,BOUV,,,,31.751,49.895,27,40,,,,,,,,,40.823,,,33.5,,,42,42,,,38,39.35,,,,37.162,39.783,38.472,10,12,10,11,11,10.5,,,,,,10.75,,8,,,6.1,,,6.9,6.25,,,,8,,,,,,,8,6.813,7.05,,,453.592,326,,463.5,,326,,453.592,394.75,0.395,414.364,0.414,2.9213,,,,,,,9752.0335,176,0.074,0.011,0.028,0.142,0.119,0.051,0.136,0.085,0.011,0.068,0.08,0.193,0.063,0.006,0.051,0.017,0.023,0.466,0.011,0.08,0.006,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxer,Boxer,BOX,BOX,91,107,100,,,,,29.483,36.287,29.5,36.5,22.68,29.483,25,29.5,29.483,32.885,26.082,30.125,33,27.25,29.5,29.5,,,29,,,28.12,27.12018141,29.804,28.873,29.339,10,12,11,13,11,12,10.4,9,,10,,10.633,480.5,,,,6.8,,,6.6,6.47,,,,8,8,5.3,,4.9,,,,6.581,6.581,2.49,2.41,,482,,449.5,,482,,,465.75,0.466,465.75,0.466,3.0653,,,,,,,6230.3231,1093,0.134,0.017,0.031,0.118,0.118,0.022,0.059,0.182,0.003,0.063,0.065,0.187,0.026,0.011,0.057,0.024,0.059,0.443,0.014,0.07,0.003,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picardy Sheepdog,Berger Picard,BPIC,BPIC,,,,22.68,31.751,,,,,,,,,,,27.216,,,,,,,,,,,,,,,27.216,,27.216,12,13,,,12.5,,,,,,,12.5,,,,,,,,,,,,,,,,,,6,5.5,,,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briard,Berger de Brie,BRIA,BRIA,,,,24.948,45.359,,,,,27.5,45.5,,,22.5,36.5,35.153,,,33,36.5,29.5,34.05,34.05,34.05,,,,,,28.02721088,33.718,34.05,33.884,12,12,10,12,12,11,,,,,,11.5,,,,,,,,7.3,,,,,,,,,,,,,7.3,7.3,,,,368.5,,,,348,389,,368.5,0.369,368.5,0.369,2.6901,,,,,,,9439.5875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brittany Spaniel,Brittany Spaniel,BRIT,BRIT,95,76,113,13.608,18.144,13,18,,,,,,,,,15.876,,,15.5,,,17,17,,,17,18.71,,15.88,,15.688,17.148,16.418,12,14,13,14,13,13.5,,,,,12.58,12.915,,,,5.32,,,6.5,6.4,,,,,7,,,,,,,,6.305,6.305,,,,283,,255,,283,,,269,0.269,269,0.269,1.696,,,,,,,5801.7546,476,0.101,0.017,0.044,0.101,0.038,0.038,0.128,0.105,0.011,0.116,0.09,0.212,0.036,0.038,0.09,0.017,0.044,0.265,0.017,0.155,0.004,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Black Terrier,Russian Black Terrier,BRTR,BRTR,,,,36.287,58.967,32,54,,,,,,,,,47.627,,,43,,,51.25,55,47.5,,,,,,,45.314,51.25,48.282,10,12,10,14,11,12,,,,,,11.5,,,,,,,,,,,,,8,,,,,,,,8,8,,,,623,,475,,667,579,,549,0.549,549,0.549,4.392,,,,,,,8575.2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffon Bruxellois,Griffon Bruxellois,BRUS,BRUS,,,,3.629,4.536,3.5,4.5,,,,,,,,,4.082,,,4,,,4.08,4.08,,,,,,,,4.041,4.08,4.061,12,15,13,14,13.5,13.5,,,,,,13.5,,,,,,,,4,,,,,7,,,,,,,,5.5,5.5,,,198.447,170,,120,,170,,198.447,145,0.145,162.816,0.163,0.8955,,,,,,,2407.3338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basenji,Basenji,BSJI,BSJI,,,,,,,,,,11,,,,10,,,,,10.5,11,10,,,,,,,,,,10.5,,10.5,13,14,10,12,13.5,11,,,,,,12.25,,,,,,,,4.8,,,,,,,,,,,,,4.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulldog,Bulldog,BULD,BULD,78,86,83,,,,,,,22.5,,,,18,,,,,20.25,22.5,18,24.5,24.5,,,24,,,22.68,27.67,20.25,23.727,21.988,8,10,10,12,9,11,6.7,,,8.4,,8.367,,,,,,,6,5.4,,,,,3,,,,,,,,4.8,4.8,,,,340,,316,,340,,,328,0.328,328,0.328,1.5744,,,,,,,,578,0.154,0.01,0.016,0.087,0.067,0.036,0.106,0.1,0.007,0.182,0.064,0.171,0.135,0.019,0.09,0.007,0.052,0.204,0.012,0.073,0.01,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullmastiff,Bullmastiff,BULM,BULM,,,,,,,,49.895,58.967,50,59,45.359,54.431,45.5,54.5,52.163,54.431,49.895,52.25,54.5,50,55,55,,,54,,,,,52.207,54.5,53.353,7,9,9,10,8,9.5,8.6,,,,,8.675,,,,,,,10,6.9,,,,,7,,6.7,,,,,,7.65,7.65,,,,635,,597.5,,635,,,616.25,0.616,616.25,0.616,4.7143,,,,,,,8364.5972,134,0.075,0.007,0.03,0.149,0.104,0.045,0.134,0.119,0,0.09,0.09,0.157,0.045,0.022,0.075,0.022,0.037,0.44,0.007,0.097,0.015,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull Terrier,Bull Terrier,BULT,BULT,,,,22.68,31.751,24,28,,,,,,,,,27.216,,,26,,,27.69,27.69,,,29,,,,,26.608,28.345,27.476,12,13,11,13,12.5,12,12.9,,,11.2,,12.117,,,,,,,,5.5,,,,,7,,,,,,,,6.25,6.25,,,,283,,330,,283,,,306.5,0.307,306.5,0.307,1.9156,,,,,,,8779.4519,121,0.091,0.017,0.017,0.149,0.083,0.025,0.099,0.099,0,0.058,0.149,0.215,0.041,0.033,0.132,0.017,0.05,0.215,0.017,0.132,0.008,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairn Terrier,Cairn Terrier,CAIR,CAIR,119,115,93,,,,,,,6.4,,,,6,,,,,6.2,6.4,6,7,7,,,7,,6.3,6.35,,6.2,6.663,6.431,13,15,12,15,14,13.5,13.2,,,13.4,13.42,13.443,,,,3.89,,,,4.4,,,,,,,,6.61,3.98,,,,4.72,4.72,2.01,1.97,,193,,,,193,,,193,0.193,193,0.193,0.911,16.9,,16.9,42.9,,42.9,,242,0.099,0.012,0.041,0.145,0.099,0.05,0.041,0.153,0.004,0.058,0.095,0.202,0.041,0.033,0.095,0.004,0.095,0.322,0.017,0.07,0.008,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian Cane Corso,Cane Corso Italiano,CANE,CANE,,,,,,,,,,45,50,,,40,45,,,,45,47.5,42.5,45,47.5,42.5,,,,,,,45,45,45,9,12,10,11,10.5,10.5,,,,,,10.5,,,,,,,6,8.2,,,,,6.5,,,,,,,,6.9,6.9,,,,432.5,,494,,465,400,,463.25,0.463,463.25,0.463,3.1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welsh Corgi Cardigan,Welsh Corgi Cardigan,CARD,CARD,,,,,,,,13.608,17.236,13.5,17,11.34,15.422,11.5,15.5,14.402,15.422,13.381,14.375,15.25,13.5,12.5,12.5,,,,,,,,14.388,12.5,13.444,12,15,12,15,13.5,13.5,,,,,,13.5,,5.5,,,,,,,,,,,,,,,,,,5.5,,5.5,,,340.194,340,,,,340,,340.194,340,0.34,340.097,0.34,1.8705,,,,,,,4134.5407,112,0.08,0.018,0.009,0.08,0.089,0.018,0.063,0.17,0.036,0.098,0.152,0.188,0.063,0.027,0.152,0.036,0.054,0.223,0.018,0.08,0.009,0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curly Coated Retriever,Curly Coated Retriever,CCRT,CCRT,,,,27.216,43.091,32,36,,,,,,,,,35.153,,,34,,,37.42,37.42,,,,,,,,34.577,37.42,35.998,10,12,10,13,11,11.5,,,,,,11.25,,,,,,,,,,,,,,,,,,7.5,7,,,7.25,,,,358,,,,358,,,358,0.358,358,0.358,2.5955,,,,,,,9719.3799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,Chihuahueño,CHIH,CHIH,113,107,86,2.722,2.722,2.5,,,,,,,,,,2.722,,,2.5,,,1.41,1.41,,,2,2.313,,1.81,2.176870748,2.648,1.883,2.265,14,16,12,14,15,13,13,,,7.1,,11.367,,2.45,,,,,2.83,3.2,,,,,3,,,,,,,2.45,3.01,2.87,,,,113,,140,146.9,113,,,133.3,0.133,133.3,0.133,0.3826,,,,,,,1941.6744,573,0.185,0.024,0.023,0.11,0.026,0.019,0.07,0.133,0.01,0.072,0.087,0.241,0.051,0.072,0.105,0.014,0.065,0.075,0.01,0.168,0.009,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Chin,Chin,CHIN,CHIN,,,,3.175,4.99,2,5,,,,,,,,,4.082,,,3.5,,,,,,,,,,,,3.791,,3.791,10,12,12,14,11,13,,,,,,12,,4,,,,,,1.9,,,,,,,,,,,,4,1.9,2.95,,,198.447,,,,,,,198.447,,,198.447,0.198,0.5854,,,,,,,1957.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chow Chow,Chow Chow,CHOW,CHOW,83,121,77,20.412,31.751,20,32,,,,,,,,,26.082,,,26,,,,,,,25,27.22,,24.95,,26.041,25.723,25.882,8,12,11,12,10,11.5,13.5,8,,,,12.125,,,,,,,,4.4,,,,,4,,,,4.07,,,,4.157,4.157,1.94,2.13,,,,400,,,,,400,0.4,400,0.4,1.6627,,,,,,,6420.385,631,0.076,0.029,0.01,0.174,0.038,0.021,0.127,0.127,0.022,0.063,0.063,0.25,0.068,0.017,0.114,0.027,0.022,0.206,0.033,0.166,0.008,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavalier King Charles Spaniel,Cavalier King Charles Spaniel,CKCS,CKCS,,,,5.897,8.165,,,,,6,8,,,6,7.5,7.031,,,6.875,7,6.75,6.35,6.35,,,,,,,9.387755102,6.927,6.35,6.638,12,15,9,14,13.5,11.5,10.7,,,12,,11.733,,4.5,,,,,8,4.1,,,,,4.5,,,3.88,,,,4.5,5.12,4.996,,,184.272,210,,230,,210,,184.272,220,0.22,208.091,0.208,1.0396,,,,,,,3278.6613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collie,Collie,COLL,COLL,81,91,122,,,,,27.216,34.019,27,34,22.68,29.483,23,29.5,28.35,30.617,26.082,28.375,30.5,26.25,30.5,30.5,,,31,24.95,,22,,28.362,27.113,27.737,12,14,14,16,13,15,13,11,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,482,,155,,482,,,318.5,0.319,318.5,0.319,,,,,,,,8800.9419,979,0.083,0.018,0.029,0.124,0.101,0.032,0.102,0.101,0.032,0.114,0.098,0.166,0.048,0.02,0.073,0.026,0.037,0.265,0.027,0.127,0.008,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coton de Tulear,Coton de Tulear,COTO,COTO,,,,,,,,4.082,6.804,,,3.629,5.897,,,5.103,5.443,4.763,,,,6.25,6.25,6.25,,,,,,,5.103,6.25,5.676,15,19,,,17,,,,,,,17,,,,,,,,,,,,,,,,,,5,2,,,3.5,,,,213,,,,214,212,,213,0.213,213,0.213,0.7455,,,,,,,2295.7324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Crested Dog,Chinese Crested Dog,CRES,CRES,,,,3.629,5.443,2,5.5,,,,,,,,,4.536,,,3.75,,,4.5,4.5,,,,,,,,4.143,4.5,4.321,13,18,12,13,15.5,12.5,,,,,,14,,4,,,,,2.5,4.3,,,,,3,,,,,,,4,3.267,3.45,,,,208,,155,,208,,,181.5,0.182,181.5,0.182,0.6262,,,,,,,2399.1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
